BP,DHD,Dtrc7,Atrc7,Drec7,lat,lon
0.77,105.85,0,0,0,11.675,92.775
0.3333,69.75,0,0,0,10.675,103.275
0.8466,69.75,0,0,0,10.675,103.275
0.7653,69.75,0,0,0,10.675,103.275
0.864,69.75,0,0,0,10.675,103.275
0.9087,67.87,0,0,0,10.625,103.325
0.8,104.79,0,0,0,12.025,93.025
0.6973,67.87,0,0,0,10.625,103.325
0.815,67.76001,0,0,0,10.625,103.275
0.89,67.76001,0,0,0,10.625,103.275
0.415,69.75,0,0,0,10.675,103.275
0.7466,67.76001,0,0,0,10.625,103.275
0.6346,67.76001,0,0,0,10.625,103.275
0.6964,67.76001,0,0,0,10.625,103.275
0,67.87,0,0,0,10.625,103.325
0.8083,69.75,0,0,0,10.675,103.275
0.3393,69.75,0,0,0,10.675,103.275
0.5667,70.74,0,0,0,10.725,103.275
0.5907,69.75,0,0,0,10.675,103.275
0.8117,69.75,0,0,0,10.675,103.275
0.8571,70.74,0,0,0,10.725,103.275
0.1041,77.59,0,0,0,17.775,-64.775
0.198,77.59,0,0,0,17.775,-64.775
0.405,67.76001,0,0,0,10.625,103.275
0.5574,67.76001,0,0,0,10.625,103.275
0.0679,84.09,0,0,0,17.825,-64.425
0,67.87,0,0,0,10.625,103.325
0.0338,84.75001,0,0,0,17.725,-64.525
0.0625,67.87,0,0,0,10.625,103.325
0.1,67.87,0,0,0,10.625,103.325
0,67.87,0,0,0,10.625,103.325
0.5,67.87,0,0,0,10.625,103.325
0,69.75,0,0,0,10.675,103.275
0.0657,84.08,0,0,0,17.675,-64.925
0.0805,79.37,0,0,0,17.725,-64.875
0,67.87,0,0,0,10.625,103.325
0,67.87,0,0,0,10.625,103.325
0.145,78.81001,0,0,0,17.775,-64.675
0.0442,78.85,0,0,0,17.775,-64.625
0.076,81.08,0,0,0,17.775,-64.575
0.0526,67.9,0,0,0,27.825,-175.975
0.0667,66.75,0,0,0,27.775,-175.925
0,78.48999,0,0,0,28.175,-94.275
0.1341,80.23,0,0,0,17.725,-64.675
0.0684,87.01999,0,0,0,17.625,-64.875
0.0345,58.03,0,0,10,24.625,-81.175
0.25,70.03999,0,0,0,10.675,103.325
0.381,67.87,0,0,0,10.625,103.325
0.122,61.42,0,0,9,24.975,-80.575
0.0714,67.76001,0,0,0,10.625,103.275
0.4059,67.76001,0,0,0,10.625,103.275
